Year,Literacy Rate(%),Population ,Population growth rate (%),Migrant Population (Estimated),Net Migration Rate,Growth Rate,Inflation Rate (%),Annual Change (%),GNI (Billion USD),Growth Rate (%),GNP (Billion USD),Growth Rate (%),Bangladesh Economic Growth GDP (Billion USD),GDP,GDP Per Capita,Growth Rate (%),Export ,Export Growth(%GDP),Import ,Import Growth(%GDP),Billions of US $,% of GDP,Poverty Rate (National),Rural Poverty Rate,Urban Poverty Rate,Number of Private Vehichles,Death Rate,Death Growth Rate,Birth Rate,Growth Rate,Infant Mortality Rate,Growth Rate,Unemployment Rate (%),Annual Change (%),Youth Unemployment Rate,Annual Change,Labor Force Participation Rate,Annual Change,Life Expectancy (years),Life Expectancy Growth Rate (%),Urban Population,Urban Population % of Total,Urban Population Change (%),Rural Population,% of Total(rural),Change(rural),Crime Rate (Per 100K Population),Annual % Crime Rate Change, Murder/Homicide Rate,Annual % Change,Tree Cover Loss(hector),Tree cover loss due to fires ,Percentage of cover tree,Primary forest loss(hector),gross_emissions_co2e_all_gases(Megaton),Primary forest extent remaining(%),annual forestry,annual shifting agriculture,Annual tree cover loss,deforestation for urbanizations,commodity driven deforestation,Trade Balance (Billion USD),Annual Change (%),Carbon emissionKilotons of Co2,Carbon emissionMetric Tons Per Capita,Greenhouse gas emissions kt of CO2 equivalent        ,green house gas emissions Annual % Change,renewable energy % of Electricity from Renewables,Annual Change,Fossil Fuel consumption % of Total Energy Use,Annual Change,Coal consumption % of Electricity from Coal,Annual Change,Migrant Population (Estimated),Net Migration Rate,Growth Rate,Refugees Granted Asylum,Annual % Change,Population Density,Growth Rate,Life Expectancy,Growth Rate,Fertility Rate,Growth Rate,Trade Balance in Billions of US $,% of GDP,Trade to GDP ratio (% of GDP),Annual Change, Foreign Direct Investment,% of GDP,Tariff Rates,Annual change,Tourism spending,tourism exports,Healthcare Spending  Per Capita (US$),% of GDP,Maternal Mortality Rate Per 100K Live Births,Annual % Change,Smoking Rate (Ages 15+),Hunger Statistics % of Population,Annual Change,Clean Water Access % of Population,Annual Change,Electricity Access % of Population,Annual Change,Military Spending/Defense Budget,% of GDP,Military Size ,"Annual % Change",Suicide Rate,Suicide Rate - Male,Suicide Rate - Female,Education Spending (% of GDP),Annual Change,Arable Land -Hectares,Per Capita,Percent
1980,26,"83,929,765",2.47%,"720,000",-2.569,-8.38%,0.82,-0.82,18.48,1.17,18.48,1.17,18.14,$18.14B,$216,0.82,$1.00B,5.49%,$3.24B,17.88%,$2.63B,14.49%,58.80%,60.70%,47.90%,,14.768,-2.43%,4312.90%,-1.14%,13281.00%,-2.09%,2.10%,0.001,,,,,52.48,0.87%,"12,464,409",14.85,10.50%,"71,465,356",85.15%,1.10%,,,,,,,,,,,,,,,,$-2.25B,-12.39%,,,,,,,32.15%,2.73%,,,"750,000",-2.569,-8.38%,145,-99.91%,567.18,2.47%,52.48,0.87%,636.90%,-2.00%,$-2.25B,-12.39%,23.38%,1.47%,$0.01B,0.05%,,,,,,,,,,,,,,,,$0.17B,0.86%,,,,,,5.26%,1.37%,"9,121,000",11.00%,70.07%
1981,27,"86,154,836",2.65%,"730,000",-2.333,-9.19%,7.23,6.41,21.5,9.28,21.5,9.28,20.25,$20.25B,$235,7.23,$1.04B,5.13%,$2.86B,14.12%,$2.83B,13.98%,56.60%,59.00%,44.50%,,14.399,-2.50%,4263.20%,-1.15%,12997.50%,-2.13%,2.20%,0.001,,,,,52.93,0.87%,"13,613,326",15.8,8.82%,"72,541,510",84.20%,1.49%,,,,,,,,,,,,,,,,$-1.82B,-8.99%,,,,,,,32.71%,0.57%,,,"764,000",-2.333,-9.19%,"40,260",27665.52%,582.22,2.65%,52.93,0.87%,623.80%,-2.06%,$-1.82B,-8.99%,19.25%,-4.13%,$0.01B,0.03%,,,,,,,,,,,,,,,,$0.17B,0.92%,,,,,,6.63%,1.37%,"9,109,000",11.00%,69.98%
1982,27.8,"88,555,336",2.79%,"740,000",-2.098,-10.07%,2.13,-5.1,20.91,2.11,20.91,2.11,18.53,$18.53B,$209,2.13,$0.94B,5.08%,$2.88B,15.53%,$2.58B,13.94%,54.30%,56.80%,42.30%,,14.031,-2.56%,4213.60%,-1.16%,12714.10%,-2.18%,2.30%,0.001,,,,,53.39,0.86%,"14,356,591",16.21,5.32%,"74,198,745",83.79%,2.26%,,,,,,,,,,,,,,,,$-1.94B,-10.46%,,,,,,,34.96%,2.25%,,,"778,000",-2.098,-10.07%,"245,154",508.93%,598.44,2.79%,53.39,0.86%,610.80%,-2.08%,$-1.94B,-10.46%,20.61%,1.36%,$0.01B,0.04%,,,,,,,,,,,,,,,,$0.18B,1.06%,,,,,,6.39%,-0.24%,"9,104,000",10.00%,69.94%
1983,28.2,"91,045,478",2.81%,"750,000",-1.863,-11.20%,3.88,1.75,19.63,5.17,19.63,5.17,17.61,$17.61B,$193,3.88,$0.99B,5.60%,$2.59B,14.71%,$2.65B,15.04%,52.40%,55.30%,39.80%,,13.662,-2.63%,4163.90%,-1.18%,12430.70%,-2.23%,2.40%,0.001,,,,,53.84,0.85%,"15,141,773",16.63,5.32%,"75,903,705",83.37%,2.27%,,,,,,,,,,,,,,,,$-1.60B,-9.11%,,,,,,,33.39%,-1.57%,,,"792,000",-1.863,-11.20%,"198,950",-18.85%,615.27,2.81%,53.84,0.85%,597.70%,-2.14%,$-1.60B,-9.11%,20.32%,-0.29%,$0.00B,0.00%,,,,,,,,,,,,,,,,$0.23B,1.27%,,,,,,6.47%,0.08%,"9,089,000",10.00%,69.82%
1984,28.8,"93,534,239",2.73%,"760,000",-1.581,-15.14%,4.8,0.92,19.39,4.6,19.39,4.6,18.92,$18.92B,$202,4.8,$0.64B,3.40%,$2.54B,13.42%,$2.95B,15.60%,51.60%,54.00%,39.10%,,13.213,-3.29%,4080.30%,-2.01%,12083.90%,-2.79%,2.50%,0.001,,,,,54.41,1.06%,"15,956,941",17.06,5.24%,"77,577,298",82.94%,2.18%,,,,,,,,,,,,,,,,$-1.90B,-10.02%,,,,,,,34.92%,1.53%,,,"806,000",-1.581,-15.14%,"116,227",-41.58%,632.09,2.73%,54.41,1.06%,577.80%,-3.33%,$-1.90B,-10.02%,16.81%,-3.51%,$-0.00B,0.00%,,,,,,,,,,,,,,,,$0.24B,1.18%,,,,,,8.09%,1.61%,"9,185,000",10.00%,70.56%
1985,29.5,"95,959,099",2.59%,"780,000",-1.299,-17.84%,3.34,-1.46,20.47,2.24,20.47,2.24,22.28,$22.28B,$232,3.34,$1.20B,5.38%,$2.86B,12.84%,$3.22B,14.46%,50.20%,53.00%,36.40%,,12.763,-3.41%,3996.70%,-2.05%,11737.10%,-2.87%,2.60%,0.001,,,,,54.98,1.05%,"16,789,004",17.5,5.08%,"79,170,095",82.50%,2.03%,,,,,,,,,,,,,,,,$-1.66B,-7.45%,,,,,,,37.33%,2.41%,,,"820,000",-1.299,-17.84%,"51,117",-56.02%,648.47,2.59%,54.98,1.05%,557.90%,-3.44%,$-1.66B,-7.45%,18.22%,1.41%,$-0.01B,-0.03%,,,,,,,,,,,,,,,,$0.22B,1.05%,"91,300",12.81,,,,8.39%,0.30%,"9,152,000",10.00%,70.31%
1986,30.1,"98,271,746",2.41%,"790,000",-1.016,-21.79%,4.17,0.83,23.03,4.49,23.03,4.49,21.77,$21.77B,$222,4.17,$1.13B,5.18%,$2.58B,11.84%,$3.10B,14.22%,49.00%,52.00%,35.10%,,12.314,-3.52%,3913.10%,-2.09%,11390.30%,-2.95%,2.40%,-0.20%,,,,,55.56,1.04%,"17,630,934",17.94,4.89%,"80,640,812",82.06%,1.84%,,,,,,,,,,,,,,,,$-1.45B,-6.65%,,,,,,,39.09%,1.76%,,,"834,000",-1.016,-21.79%,"30,690",-39.96%,664.1,2.41%,55.56,1.04%,538.10%,-3.55%,$-1.45B,-6.65%,17.02%,-1.20%,$0.00B,0.01%,,,,,,,,,,,,,,,,$0.25B,1.11%,,,,,,9.13%,0.74%,"9,161,000",9.00%,70.38%
1987,30.8,"100,490,256",2.26%,"800,000",-0.734,-27.76%,9.87%,-2.46%,26.55,420.00%,2655.00%,420.00%,24.3,$24.30B,$242,3.77,$1.21B,4.99%,$2.84B,11.70%,$3.27B,13.47%,47.80%,50.90%,34.20%,,11.864,-3.65%,3829.50%,-2.14%,11043.50%,-3.04%,2.30%,-0.10%,,,,,56.13,1.03%,"18,485,183",18.4,4.73%,"82,005,073",81.61%,1.68%,,,,,,,,,,,,,,,,$-1.63B,-6.71%,,,,,,,43.87%,4.79%,,,"848,000",-0.734,-27.76%,"21,603",-29.61%,679.09,2.26%,56.13,1.03%,518.20%,-3.70%,$-1.63B,-6.71%,16.69%,-0.33%,$0.00B,0.01%,,,,,,,,,,,,,,,,$0.29B,1.17%,,,,,,10.47%,1.34%,"9,235,000",9.00%,70.95%
1988,31.4,"102,688,833",2.19%,"810,000",-0.452,-38.42%,7.41%,-2.46%,28.69,235.00%,2869.00%,235.00%,26.58,$26.58B,$259,2.42,$1.44B,5.43%,$3.26B,12.25%,$3.57B,13.42%,46.50%,49.50%,33.30%,,11.415,-3.78%,3745.90%,-2.18%,10696.70%,-3.14%,2.50%,0.002,,,,,56.7,1.02%,"19,366,087",18.86,4.66%,"83,322,746",81.14%,1.59%,,,,,,,,,,,,,,,,$-1.81B,-6.82%,,,,,,,44.19%,0.31%,,,"862,000",-0.452,-38.42%,"22,275",3.11%,693.95,2.19%,56.7,1.02%,498.30%,-3.84%,$-1.81B,-6.82%,17.68%,0.99%,$0.00B,0.01%,,,,,,,,,,,,,,,,$0.33B,1.25%,,,,,,11.19%,0.72%,"9,537,000",9.00%,73.27%
1989,32,"104,893,674",2.15%,"830,000",-0.66,46.02%,6.05%,-1.37%,30.26,275.00%,3026.00%,275.00%,28.78,$28.78B,$274,2.84,$1.59B,5.54%,$3.68B,12.79%,$3.71B,12.91%,45.20%,48.30%,31.90%,,11.001,-3.63%,3653.00%,-2.48%,10322.50%,-3.50%,2.30%,-0.20%,,,,,57.34,1.13%,"20,275,947",19.33,4.59%,"84,617,727",80.67%,1.54%,,,,,,,,,,,,,,,,$-2.09B,-7.24%,,,,,,,45.07%,0.89%,,,"876,000",-0.66,46.02%,"22,209",-0.30%,708.85,2.15%,57.34,1.13%,479.90%,-3.69%,$-2.09B,-7.24%,18.33%,0.65%,$0.00B,0.00%,88.43%,-11.24%,,,,,,,,,,,,,,$0.38B,1.29%,"103,000.00",12.81%,,,,11.06%,-0.13%,"9,553,000",9.00%,73.39%
